category,rating,name,phone,location,address
Venezuelan,4.5,Guasaca,(919) 322-4928,"35.8152019,-78.6963751","4025 Lake Boone Trl Raleigh, NC 27607"
"Mexican,Colombian",4.0,Gonza Tacos Y Tequila,(919) 653-7310,"35.7397175728403,-78.7762651965022","525 New Waverly Pl Cary, NC 27518"
French,4.0,Kitchen,(919) 537-8167,"35.9244569,-79.0532537","764 Martin Luther King Jr Blvd Chapel Hill, NC 27514"
American (New),4.5,Nana’s,(919) 493-8545,"35.9741087,-78.9249903","2514 University Dr Durham, NC 27707"
Italian,4.5,Tarantini,(919) 942-4240,"35.854042,-79.024952","50160 Governors Dr Chapel Hill, NC 27517"
"Latin American,Peruvian",4.5,Alpaca Peruvian Charcoal Chicken,(919) 378-9259,"precise_search_35.7174966,-79.1788772","9575 Chapel Hill Rd Morrisville, NC 27560"
"Mexican,Desserts",3.5,La Santa Modern Mexican Food,(919) 720-4096,"35.7836251,-78.6471448","222 Glenwood Ave Raleigh, NC 27603"
"Southern,Italian",4.5,Panciuto,(919) 732-6261,"36.0749895,-79.0996364","110 S Churton St Hillsborough, NC 27278"
"Sushi Bars,Poke",4.5,ZenFish,(919) 937-9966,"36.0113259,-78.921581","810 9th St Durham, NC 27705"
"American (New),Southern",4.0,Lucky 32 Southern Kitchen,(919) 233-1632,"35.8076261,-78.8195442","7307 Tryon Rd Cary, NC 27511"
Southern,4.0,Harvest 18,(919) 316-1818,"35.7314153,-78.8513228","8128 Renaissance Pkwy Durham, NC 27713"
Mexican,3.5,Cantina 18 - Park West,(919) 694-5618,"35.720988,-79.181363","3305 Village Market Pl Morrisville, NC 27560"
"American (New),Seafood,Cocktail Bars",4.0,The Provincial,(919) 372-5921,"35.4011362,-78.8287752","119 N Salem St Apex, NC 27502"
"Gluten-Free,Greek,Vegan",4.5,Angelina’s Kitchen,(919) 545-5505,"36.0719062,-79.1007387","23 Rectory St Pittsboro, NC 27312"
Tacos,4.5,Tacos Oaxaca,(910) 893-4927,"35.7845516,-78.6435292","809 W Front St Lillington, NC 27546"
Mexican,4.5,El Restaurante Ixtapa,(919) 644-6944,"36.0757337,-79.0996189","162 Exchange Park Ln Hillsborough, NC 27278"
"Italian,Bars,Venues & Event Spaces",4.0,Mulino Italian Kitchen & Bar,(919) 838-8595,"35.9954828,-78.9008417","309 North Dawson St Raleigh, NC 27603"
Cajun/Creole,4.0,LaPlace Louisiana Cookery,(919) 245-0041,"35.7365208018483,-78.7852342071777","111 N Churton St Hillsborough, NC 27278"
"Latin American,Empanadas,Bars",4.5,Luna Rotisserie and Empanadas,(984) 439-8702,"precise_search_35.7174966,-79.1788772","112 W Main St Durham, NC 27701"
Italian,4.0,Mothers and Sons Trattoria,(919) 294-8247,"35.4821676,-79.1762647","107 W Chapel Hill St Durham, NC 27701"
"Pizza,Sandwiches",4.0,La Dolce Vita Pizzeria,(919) 777-5277,"35.7947930474785,-78.506277675699","143 Charlotte Ave Sanford, NC 27330"
"Sushi Bars,Desserts,American (New)",4.0,iPho Sushi Kitchen & Bar,(919) 266-8099,"35.9523751,-78.9969168","4001 Widewaters Pkwy Knightdale, NC 27545"
"Persian/Iranian,Caterers,Vegetarian",4.5,Pomegranate Kitchen,(919) 886-0356,"35.3405444639586,-79.4367742538452","5504 Durham Chapel Hill Blvd Durham, NC 27707"
Barbeque,4.5,Pik N Pig,(910) 947-7591,"35.78256679,-79.1292227742","194 Gilliam Mcconnell Rd Carthage, NC 28327"
"Barbeque,Burgers,Hot Dogs",4.0,Allen & Son Bar-B-Que,(919) 542-2294,"35.7887995,-78.6341408","5650 US Hwy 15-501 N Pittsboro, NC 27312"
"American (New),Diners,Bars",4.5,Crawford & Son,(919) 307-4647,"35.953293,-78.525028","618 N Person St Raleigh, NC 27604"
"Fast Food,Pizza",4.5,MOD Pizza,(919) 263-1211,"35.5912394645821,-78.7868774172092","2815 Rogers Rd Wake Forest, NC 27587"
Italian,4.5,Garibaldi Trattoria,(919) 552-8868,"35.7355611601136,-78.8416796613769","900 N Main St Fuquay Varina, NC 27526"
"Italian,Pizza",4.5,Mamma Mia Italian Bistro,(919) 363-2228,"precise_search_35.7174966,-79.1788772","708 Laura Duncan Rd Apex, NC 27502"
Noodles,4.5,Noodle Boulevard,(919) 678-1199,"35.7934698,-78.635421","919 N Harrison Ave Cary, NC 27513"
"American (New),Breakfast & Brunch",4.0,Acme Food & Beverage Co,(919) 929-2263,"35.8006796,-78.783405","110 E Main St Carrboro, NC 27510"
"Burgers,American (New)",3.5,Bad Daddys Burger Bar,(984) 233-5880,"35.910464,-79.070519","9402 Falls Of Neuse Rd Raleigh, NC 27615"
"Sandwiches,Breakfast & Brunch,Bakeries",4.5,The Table Farmhouse Bakery,(336) 736-8628,"35.9022253,-78.6047011","139 S Church St Asheboro, NC 27203"
American (New),4.5,Stanbury,(919) 977-4321,"35.704991,-79.816723","938 N Blount St Raleigh, NC 27604"
"Mediterranean,Egyptian,Greek",4.5,Nile Cafe Mediterranean Food,(919) 229-4664,"35.746447,-78.7415661","8204 Tryon Woods Dr Cary, NC 27518"
"Asian Fusion,Hawaiian,Poke",4.5,"One Fish, Two Fish",(919) 240-5532,"35.9106573587938,-79.067649319768","370 E Main St Carrboro, NC 27510"
Salad,3.5,CHOPT,(919) 240-7660,"35.9360405931293,-79.0240989625454","1490 Fordham Blvd Chapel Hill, NC 27517"
"Burgers,Hot Dogs",4.5,Al’s Burger Shack,(919) 904-7659,"precise_search_35.7174966,-79.1788772","516 W Franklin St Chapel Hill, NC 27516"
"Bars,American (Traditional),Gastropubs",4.0,The Smoke and Barrel,(919) 292-1374,"35.4802552835129,-79.1789948567748","120 S Steele St Sanford, NC 27330"
"Wine Bars,American (New)",4.0,Glasshalfull,(919) 967-9784,"35.9113633784868,-79.0705603109313","106 S Greensboro St Carrboro, NC 27510"
"Cafes,Coffee & Tea",5.0,Café Diem,(919) 704-4239,"36.0756407,-79.099313","18B E Salisbury St Pittsboro, NC 27312"
"Sushi Bars,Pasta Shops,Pizza",3.5,"Ruckus Pizza, Pasta & Spirits",(919) 446-6333,"35.7464952,-78.8852191","1055 Pine Plaza Dr Apex, NC 27523"
"Breakfast & Brunch,Convenience Stores,American (Traditional)",4.0,Saxapahaw General Store,(336) 376-5332,"35.777513,-78.637943","1735 Saxapahaw Bethlehem Ch Rd Saxapahaw, NC 27340"
American (New),4.0,Venable Rotisserie Bistro,(919) 904-7160,"35.921793,-79.317584","200 N Greensboro St Carrboro, NC 27510"
"Sandwiches,Vegetarian,Delis",4.5,Bona Fide Sandwich Co,(919) 245-7869,"35.8961251844315,-78.8700474463135","104 N Churton St Hillsborough, NC 27278"
"Southern,Barbeque,Beer Bar",4.0,Brew N Que,(919) 338-2591,"35.7478577,-78.8278246","2045 Creekside Landing Dr Apex, NC 27502"
"American (New),Seafood,Cocktail Bars",4.0,St. Roch Fine Oysters + Bar,(919) 322-0359,"precise_search_35.7174966,-79.1788772","223 S Wilmington St Raleigh, NC 27601"
"American (Traditional),Cafes,Breakfast & Brunch",4.5,Reverence Farms Cafe,(336) 525-2266,"35.9097608,-79.0727507","6956 S North Carolina 87 Graham, NC 27253"
"Vegetarian,Food Trucks,Vegan",5.0,The Farmery,(864) 921-7967,"35.7214931036662,-79.1766463558197","800 Park Office Dr Durham, NC 27709"
"Sports Bars,American (Traditional)",4.0,My Way Tavern,(919) 285-2412,"35.862384,-78.818292","301 W Center St Holly Springs, NC 27450"
Cuban,4.0,Carmen’s Cuban Café,(919) 467-8080,"35.8488640783739,-78.8893863558769","108-D Factory Shop Rd Morrisville, NC 27560"
"Italian,Desserts,Gluten-Free",3.5,Stellino’s Italiano,(919) 694-5761,"35.7210302,-79.1768646","1150 Parkside Main St Cary, NC 27519"
American (Traditional),4.5,Virlie’s Grill,(919) 542-0376,"35.8140319,-78.8203082","58 Hillsboro St Pittsboro, NC 27312"
Venezuelan,4.5,Guasaca,(919) 377-8223,"35.9242383,-79.0543195","9918 Chapel Hill Rd Cary, NC 27513"
"Asian Fusion,Mexican",4.0,Lucha Tigre,(919) 904-7326,"36.0717862,-79.4103075","746 Martin Luther King Jr Blvd Chapel Hill, NC 27514"
Salvadoran,4.5,El Carbonero,(336) 228-8002,"35.7891002,-78.84976","517 W Elm St Graham, NC 27253"
"Barbeque,American (Traditional),Chicken Wings",4.0,Smok’t BBQ & Taps,(919) 481-6775,"35.996751,-78.900528","1937 High House Rd Cary, NC 27519"
"Lounges,Gastropubs,Cocktail Bars",4.0,Alley Twenty Six,(984) 439-2278,"35.9104165,-79.0623386","320 E Chapel Hill St Durham, NC 27701"
"Asian Fusion,Bars,Venues & Event Spaces",4.0,Lantern,(919) 969-8846,"precise_search_35.7174966,-79.1788772","423 W Franklin St Chapel Hill, NC 27516"
Breakfast & Brunch,4.5,Angie’s Restaurant,(919) 661-6707,"35.706153,-79.814363","1340 W Garner Rd Garner, NC 27529"
Hot Dogs,4.5,Mikes Chicago Dog And More,(336) 610-6453,"35.986419899256,-78.9284503832459","103 N Fayetteville St Asheboro, NC 27203"
"Bars,American (New)",3.5,The Lakewood,(919) 402-8059,"35.996719,-78.904807","2022 Chapel Hill Rd Durham, NC 27707"
Tapas Bars,4.0,Mateo,(919) 530-8700,"36.003512,-78.9004","109 W Chapel Hill St Durham, NC 27701"
"Vegan,Tapas/Small Plates,Sandwiches",4.0,Parts & Labor,(919) 901-0875,"35.9105624,-79.0710058","723 Rigsbee Ave Durham, NC 27701"
"Vegetarian,American (Traditional)",4.0,Spotted Dog,(919) 933-1117,"35.908848,-78.784378","111 E Main St Carrboro, NC 27510"
"Mediterranean,Vegan,Gluten-Free",4.5,Aladdin’s Eatery,(919) 806-5700,"35.2280289359278,-79.3970000251365","8201 Brier Creek Pkwy Raleigh, NC 27617"
Pizza,3.0,Zerillo’s Pizza,(910) 725-2255,"35.5955691,-78.7771796","334 Mill Creek Rd Carthage, NC 28327"
Indian,4.5,Zeera Indian Restaurant,(919) 762-6215,"36.0803568,-79.5061339","1311 E Broad St Fuquay Varina, NC 27526"
"Korean,Fast Food",5.0,Mixed Rice,(336) 270-8299,"precise_search_35.7174966,-79.1788772","3258 S Church St Burlington, NC 27215"
"Sushi Bars,Burgers",4.5,The Cowfish Sushi Burger Bar,(919) 784-0400,"35.583002,-78.800038","4208 Six Forks Rd Raleigh, NC 27609"
Barbeque,4.0,Hillsborough BBQ Company,(919) 732-4647,"36.0946155693615,-79.2597045059339","236 S Nash St Hillsborough, NC 27278"
Mexican,4.0,Michoacan Mexican Restaurant,(919) 383-8828,"35.8150465680023,-78.6610901355743","3409 Hillsborough Rd Durham, NC 27705"
"American (New),Cocktail Bars,Beer Bar",4.0,Tandem Carrboro,(919) 240-7937,"35.8408160936967,-78.679499288916","200 N Greensboro St Carrboro, NC 27510"
"Pubs,American (New)",3.5,The Eddy Pub,(336) 525-2010,"35.946956,-79.3189858","1715 Saxapahaw-Bethlehem Church Rd Saxapahaw, NC 27340"
"Venezuelan,Salad",4.5,Guasaca,(919) 294-8939,"35.837258785475,-78.6401524459807","2200 W Main St Durham, NC 27705"
"Wine Bars,Cafes",4.5,The Mill,(919) 557-2123,"precise_search_35.7174966,-79.1788772","146 South Main St Fuquay Varina, NC 27526"
"Bars,American (New)",3.0,Mebane Steakhouse,,"36.0722292,-79.1112435","401 E Center St Mebane, NC 27302"
American (Traditional),4.5,Glenwood Grill,(919) 782-3102,"36.0182097,-78.9467118","2603-151 Glenwood Ave Raleigh, NC 27608"
"American (New),Seafood,Wine Bars",4.5,Seasons 52,(919) 787-3052,"35.9115184,-79.0711771","4325 Glenwood Ave Raleigh, NC 27612"
"Pubs,American (Traditional),Sandwiches",4.5,Mystery Brewing Public House,(919) 245-1325,"35.660948,-78.849858","230 S Nash St Hillsborough, NC 27278"
"American (Traditional),Salad,Wraps",4.0,The Mason Jar Tavern,(919) 964-5060,"35.7391472895502,-78.7765352017084","114 Grand Hill Pl Holly Springs, NC 27540"
"Sushi Bars,Asian Fusion",3.5,Tasu Asian Bistro - Cary,(919) 977-4037,"36.0953749453296,-79.3565410003066","525 New Waverly Pl Cary, NC 27518"
Barbeque,4.5,Dickie-Do’s Bbq,(336) 578-1220,"35.480218,-79.178336","20 Roxboro St Haw River, NC 27258"
"Southern,Cocktail Bars",3.5,The Steele Pig,(919) 777-9963,"35.9965392104117,-78.9036862179637","133 S Steele St Sanford, NC 27330"
"Indian,Bars",4.0,The Viceroy,(919) 797-0413,"35.8310105,-78.770391","331 W Main St Durham, NC 27701"
American (New),4.0,Dame’s Chicken and Waffles,(336) 275-7333,"35.9034513,-78.9431065","1823 N Harrison Ave Cary, NC 27513"
Burgers,4.5,BUILT Custom Burgers,(984) 219-1644,"35.9113663551479,-79.0761322248458","6910 Fayetteville Rd Durham, NC 27713"
Pizza,4.0,Pizzeria Mercato,(919) 967-2277,"36.0729280620364,-79.2956046193163","408 W Weaver St Carrboro, NC 27510"
"Sushi Bars,Thai,Asian Fusion",4.5,Asian Harbor,(919) 568-9477,"precise_search_35.7174966,-79.1788772","1294 S 5th St Mebane, NC 27302"
"Italian,Caterers",4.0,Babymoon Cafe,(919) 465-9006,"35.9108482,-79.0699687","100 Jerusalem Dr Morrisville, NC 27560"
Barbeque,4.0,CrossTies Barbeque,(919) 918-3923,"35.8333632,-78.8817813","201 E Main St Carrboro, NC 27510"
"Vietnamese,Soup",4.0,No 1 Pho,(919) 297-2975,"35.5058363877568,-78.7488767306665","5025 Arco St Cary, NC 27519"
Barbeque,4.5,Texas Pit BBQ,(919) 331-4136,"35.7015164553708,-78.7931017037048","546 W Church St Angier, NC 27501"
"American (New),Bars,Steakhouses,American (Traditional)",4.0,Chef’s Palette Restaurant & Bar,(919) 267-6011,"35.7061695483536,-79.8138107059177","3460 Ten Ten Rd Cary, NC 27518"
"American (New),Gluten-Free",4.5,Bia’s Gourmet Hardware,(336) 610-2427,"35.7055563,-79.81406","103 Worth St Asheboro, NC 27203"
"American (New),Soul Food",4.5,Magnolia 23,(336) 672-2300,"35.8148693654647,-78.8204432070885","23 S Fayetteville St Asheboro, NC 27203"
"Coffee & Tea,Breakfast & Brunch,American (New)",3.5,Famous Toastery,(919) 234-1860,"35.8023239,-78.7803686","9928 Chapel Hill Rd Morrisville, NC 27560"
Korean,4.5,Aroma Korea,(919) 650-2696,"35.5934133,-78.7940937","160 NE Maynard Rd Cary, NC 27513"
"Mediterranean,Cafes",4.5,Nil’s Cafe Mediterranean Cuisine,(919) 567-0887,"precise_search_35.7174966,-79.1788772","513 Broad St Fuquay-Varina, NC 27526"
"Tacos,Cocktail Bars",4.5,Catrina’s Tequila & Taco Bar,(919) 563-0268,"35.507271,-78.739204","1239 S 5th St Mebane, NC 27302"
"American (New),Vegan",4.5,The Root,(336) 792-1081,"35.8203951238657,-79.0860682500711","110 W Lebanon Ave Elon, NC 27244"
"Bars,Sandwiches",5.0,Horigan’s House of Taps,Phone number,"36.06592685833,-79.7906689477289","603A S Elm St Greensboro, NC 27406"
Mexican,4.5,Tacos El Primo,(919) 775-8107,"35.8152262,-78.6971891","916 S Horner Blvd Sanford, NC 27330"
"Tacos,Cocktail Bars",4.0,Viva Mexico! Restaurant,(919) 467-2627,"36.0713044674114,-79.2936100065708","4075 Davis Dr Morrisville, NC 27560"
"Korean,Asian Fusion",4.0,M Kokko,(919) 908-9332,"36.100913,-79.507189","311 Holland St Durham, NC 27701"
American (New),4.0,The Oak,(919) 787-9100,"precise_search_35.7174966,-79.1788772","4035 Lake Boone Trl Raleigh, NC 27607"
"Delis,Grocery,Cafes",4.0,Oak City Market,(919) 930-1017,"35.4703904,-79.1691382","120 E Martin St Raleigh, NC 27601"
"American (New),Burgers,Salad",5.0,Brick & Mortar Grill,(919) 639-9700,"35.8346448409022,-78.8576671648339","8 N Broad St E Angier, NC 27501"
"Italian,International Grocery,Sandwiches",4.0,Alberello Cafe & Market,(984) 234-3017,"35.9978133,-78.9010988","72 Chapelton Ct Chapel Hill, NC 27516"
"Southern,American (New)",4.0,Beasley’s Chicken & Honey,(919) 322-0127,"35.9278462,-79.0268783","237 S Wilmington St Raleigh, NC 27601"
"Steakhouses,Seafood",4.5,Stoney River Steakhouse and Grill,(919) 914-6688,"35.9435451,-78.5439212","201 South Estes Dr Chapel Hill, NC 27514"
"Bakeries,Coffee & Tea,Breakfast & Brunch",4.5,Bakery La Dolce Vita,(984) 235-1447,"35.889720310786,-78.8971920648041","14460 Fall Of The Neuse Rd Raleigh, NC 27614"
"Diners,Breakfast & Brunch",4.5,True Flavors Diner & Catering,(919) 316-7978,"35.895513255937,-79.0580630823163","5410 Hwy 55 Durham, NC 27713"
"Sandwiches,Convenience Stores",4.5,Merritt’s Store & Grill,(919) 942-4897,"35.5818681340031,-78.7996900270709","1009 S Columbia St Chapel Hill, NC 27514"
"American (Traditional),Salad,Burgers",4.0,The Mason Jar Tavern,(919) 762-5555,"36.0974004147142,-79.2685440674583","305 S Main St Fuquay Varina, NC 27526"
"Southern,American (New),Vegetarian",4.5,The Mebane Downtown Table,(919) 568-8211,"36.0731963,-79.0993351","119 W Clay St Mebane, NC 27302"
"Food Trucks,Mexican",4.5,Tacos Los Altos,(408) 796-8586,"35.5832413,-78.7986445","235 South Churton St Hillsborough, NC 27278"
"Seafood,American (New),Sandwiches",4.0,Rock Harbor Grill,(984) 225-2256,"35.7329141410592,-79.4418811798096","132 S Fuquay Ave Fuquay Varina, NC 27526"
Burgers,4.0,Johnson’s Drive In Restaurant,,"precise_search_35.7174966,-79.1788772","1520 E 11th St Siler City, NC 27344"
"Mediterranean,Greek,Middle Eastern",4.0,Mediterra Grill,(919) 762-7851,"35.8200010758397,-78.8457270688641","108 Grand Hill Plc Holly Springs, NC 27540"
Mexican,4.5,Mi Cancun,(919) 650-1718,"35.1596835382998,-79.4147207960486","1106 Grace Park Dr Morrisville, NC 27560"
"Pizza,Salad",3.0,Rudino’s Pizza & Grinders,(910) 246-2446,"35.8582264775521,-78.8208327010387","135 Pinehurst Ave Southern Pines, NC 28387"
"Mediterranean,Cafes",4.5,Hummus Cafe,(919) 650-1601,"36.0581097,-79.1022165","962-A Airport Blvd Morrisville, NC 27560"
"Mexican,Salad,Vegetarian",4.5,The Colorado Burrito,(919) 245-3335,"35.999977,-78.8961488","116 Daniel Boone St Hillsborough, NC 27278"
Seafood,4.0,Saltbox Seafood Joint,(919) 908-8970,"35.7919307,-78.7757511","608 N Mangum St Durham, NC 27701"
"Beer Bar,American (Traditional)",5.0,BottleDog Bites & Brews,(919) 694-5377,"36.0087749,-78.9218719","8306 Chapel Hill Rd Cary, NC 27513"
Mexican,3.0,Del Rancho Mexican Grill,,"35.9946635,-78.9007481","730 9th St Durham, NC 27705"
"Bars,Tapas/Small Plates",4.5,Bar Virgile,(919) 973-3000,"35.9952710471117,-78.8998394955159","105 S Mangum St Durham, NC 27701"
"Diners,Wine Bars,Cocktail Bars",4.0,Littler,,"precise_search_35.7174966,-79.1788772","110 E Parrish St Durham, NC 27701"
"Mediterranean,Greek,Breakfast & Brunch",4.5,Alexander’s Mediterranean Cuisine,(919) 779-1183,"35.7859711,-78.811119","263 Timber Dr Garner, NC 27529"
American (New),4.5,Second Empire Restaurant,(919) 829-3663,"35.894056,-78.8976983","330 Hillsborough St Raleigh, NC 27603"
"Mexican,Tex-Mex",4.0,Xoco Mexican Bar & Grill,(919) 835-9010,"35.685217081536,-78.606654179888","410 Glenwood Ave Raleigh, NC 27603"
"Greek,Mediterranean,Gluten-Free",4.5,Mediterranean Deli,(919) 967-2666,"35.780739,-78.644823","410 W Franklin St Chapel Hill, NC 27516"
"Japanese,Korean,Sushi Bars",4.5,Oiso,(919) 655-5133,"35.7856714,-78.6470257","1305 NW Maynard Rd Cary, NC 27513"
"Barbeque,American (Traditional),Soul Food",4.0,The Pit,(919) 890-4500,"35.911407,-79.0610567","328 W Davie St Raleigh, NC 27601"
"Middle Eastern,Turkish,Mediterranean",4.0,Talullas,(919) 933-1177,"precise_search_35.7174966,-79.1788772","456 W Franklin St Chapel Hill, NC 27516"
Japanese,5.0,Sarkus Express,(919) 292-2660,"35.7760104,-78.6447112","3094 S Horner Blvd Sanford, NC 27332"
"Barbeque,Southern",4.0,Backyard BBQ Pit,(919) 544-9911,"35.9107663,-79.06271","5122 Nc Hwy 55 Durham, NC 27713"
"Pubs,American (New),Sandwiches",4.0,The Federal,(919) 680-8611,"35.4510252,-79.1347614","914 W Main St Durham, NC 27701"
"Seafood,Sandwiches,American (Traditional)",4.5,B B & Y,(984) 200-5336,"35.800490640215,-79.0914547386688","6501 Mt Herman Rd Raleigh, NC 27617"
"Pizza,Beer Gardens,Music Venues",4.5,Roost Beer Garden,(919) 542-1239,"36.0066658,-78.9477928","2000 Fearrington Village Ctr Pittsboro, NC 27312"
"Donuts,Breakfast & Brunch,Desserts",4.5,Early Bird Donuts,(984) 888-0417,"35.9147739656257,-79.0529377385974","2816 Erwin Rd Durham, NC 27705"
"Wine Bars,American (New),Beer Bar",4.5,Imbibe,(919) 636-6469,"36.0867533,-79.1120401","108 Henderson St Chapel Hill, NC 27514"
American (Traditional),5.0,Big Bob’s City Grill,(919) 732-2953,"36.0831825,-79.0993128","584 Cornelius St Hillsborough, NC 27278"
"Meat Shops,Delis",5.0,Bacon’s Meat Market,(919) 732-4712,"35.7237855,-78.646229","610 North Churton St Hillsborough, NC 27278"
Southern,4.0,Moon Runners Saloon,(919) 662-5119,"36.0354106828325,-79.9650178305958","1506 US Hwy 70 W Garner, NC 27529"
"Sports Bars,Chicken Wings,Pizza",3.5,Kick Back Jacks,(336) 885-0550,"36.0402126158855,-78.9577317232385","2410 Penny Rd High Point, NC 27265"
"Barbeque,Bars,Sandwiches",4.0,Picnic,(919) 908-9128,"35.7747173,-78.6423065","1647 Cole Mill Rd Durham, NC 27705"
American (New),4.0,Poole’s,(919) 832-4477,"precise_search_35.7174966,-79.1788772","426 S McDowell St Raleigh, NC 27601"
"Creperies,Coffee & Tea,Breakfast & Brunch",4.5,Press Coffee+Crepes,(336) 395-3645,"35.9192754328251,-78.8112013041973","133 N Main St Graham, NC 27253"
Vietnamese,4.0,Mekong,(919) 251-8426,"35.7876528043631,-78.6671346301312","2121 Tw Alexander Dr Morrisville, NC 27560"
Tacos,3.5,Coco Bongo,(984) 242-0898,"35.430904,-79.222054","2400 Hillsborough St Raleigh, NC 27607"
"Barbeque,Seafood,Burgers",4.5,Stubbs & Son BBQ,(919) 776-8887,"35.7916457,-78.8482108","2440 Jefferson Davis Hwy Sanford, NC 27332"
"Pizza,American (New),Tacos",4.0,Tazza Kitchen Stone Creek Village,(919) 651-8281,"35.725559,-78.647931","600 Ledgestone Way Cary, NC 27519"
"Cafes,American (New),Sandwiches",5.0,Oak City Cafe,(919) 661-0001,"35.8407153462332,-78.6845733951346","3909 S Wilmington St Raleigh, NC 27603"
American (Traditional),4.5,J. Alexander’s Restaurant,(984) 200-4493,"35.7457253043508,-78.5988320410252","4600 Crabtree Valley Ave Raleigh, NC 27612"
Caribbean,3.0,Caribbean Spice,(919) 916-1175,"35.9954377,-78.8999432","2822 New Birch Dr Raleigh, NC 27610"
"Breweries,Burgers,American (New)",4.0,Bull City Burger and Brewery,(919) 680-2333,"35.8213626055621,-79.0867114439607","107 E Parrish St Durham, NC 27701"
"Coffee & Tea,Themed Cafes,Breakfast & Brunch",4.0,Breakaway Cafe,(984) 234-3010,"precise_search_35.7174966,-79.1788772","58 Chapelton Ct Chapel Hill, NC 27516"
Mexican,4.0,Totopos Street Food & Tequila,(919) 678-3449,"35.759174,-78.783798","1388 Kildaire Farm Rd Cary, NC 27511"
Barbeque,4.0,The Pig,(919) 942-1133,"35.9623223186114,-79.0349154905218","630 Weaver Dairy Rd Chapel Hill, NC 27514"
Peruvian,4.5,Alpaca Peruvian Charcoal Chicken,(919) 908-1597,"36.0079113,-78.9223072","703A 9th St Durham, NC 27705"
Asian Fusion,4.0,Jujube,(919) 960-0555,"35.9089185,-79.0254856","1201 Raleigh Rd Chapel Hill, NC 27517"
Thai,4.0,Bua Thai Cuisine,(984) 219-7357,"35.9198185734295,-78.9306021622894","5850 Fayetteville Rd Durham, NC 27713"
"Breakfast & Brunch,American (New),Steakhouses",3.5,Cafe 121,(919) 774-1888,"35.4813107,-79.1763616","121 Chatham St Sanford, NC 27330"
"American (New),Breakfast & Brunch,Cocktail Bars",4.5,Simple Twist Cafe & Bar,(919) 661-5566,"precise_search_35.7174966,-79.1788772","5638 Hwy 42 Garner, NC 27529"
